User ID   | Recommended Movie Title
129       | L.A. Confidential (1997)
130       | Good Will Hunting (1997)
131       | Titanic (1997)
132       | L.A. Confidential (1997)
133       | Good Will Hunting (1997)
134       | Titanic (1997)
135       | L.A. Confidential (1997)
136       | Titanic (1997)
137       | Titanic (1997)
138       | Titanic (1997)
139       | Titanic (1997)
140       | L.A. Confidential (1997)
141       | Titanic (1997)
142       | L.A. Confidential (1997)
143       | Good Will Hunting (1997)
144       | Good Will Hunting (1997)
145       | Star Wars (1977)
146       | Good Will Hunting (1997)
147       | Titanic (1997)
148       | Star Wars (1977)
149       | Titanic (1997)
150       | Titanic (1997)
151       | L.A. Confidential (1997)
152       | Titanic (1997)
153       | Titanic (1997)
154       | Titanic (1997)
155       | Titanic (1997)
156       | L.A. Confidential (1997)
157       | Titanic (1997)
158       | Titanic (1997)
159       | Titanic (1997)
160       | Titanic (1997)
161       | Titanic (1997)
162       | Titanic (1997)
163       | L.A. Confidential (1997)
164       | Titanic (1997)
165       | L.A. Confidential (1997)
166       | Titanic (1997)
167       | L.A. Confidential (1997)
168       | Titanic (1997)
169       | Titanic (1997)
170       | Star Wars (1977)
171       | Titanic (1997)
172       | Titanic (1997)
173       | Titanic (1997)
174       | Titanic (1997)
175       | Titanic (1997)
176       | Titanic (1997)
177       | Good Will Hunting (1997)
178       | Star Wars (1977)
179       | Titanic (1997)
180       | Titanic (1997)
181       | Titanic (1997)
182       | Titanic (1997)
183       | L.A. Confidential (1997)
184       | Titanic (1997)
185       | Titanic (1997)
186       | Titanic (1997)
187       | Titanic (1997)
188       | L.A. Confidential (1997)
189       | Star Wars (1977)
190       | Star Wars (1977)
191       | Titanic (1997)
192       | L.A. Confidential (1997)
193       | Titanic (1997)
194       | L.A. Confidential (1997)
195       | Titanic (1997)
196       | Full Monty, The (1997)
197       | Titanic (1997)
198       | L.A. Confidential (1997)
199       | L.A. Confidential (1997)
200       | Air Force One (1997)
201       | Titanic (1997)
202       | Titanic (1997)
203       | Titanic (1997)
204       | L.A. Confidential (1997)
205       | Star Wars (1977)
206       | Good Will Hunting (1997)
207       | Titanic (1997)
208       | Titanic (1997)
209       | Titanic (1997)
210       | Titanic (1997)
211       | Titanic (1997)
212       | Titanic (1997)
213       | Good Will Hunting (1997)
214       | L.A. Confidential (1997)
215       | Good Will Hunting (1997)
216       | Titanic (1997)
217       | Titanic (1997)
218       | Titanic (1997)
219       | Titanic (1997)
220       | Titanic (1997)
221       | Good Will Hunting (1997)
222       | L.A. Confidential (1997)
223       | L.A. Confidential (1997)
224       | Titanic (1997)
225       | Titanic (1997)
226       | Titanic (1997)
227       | L.A. Confidential (1997)
228       | Star Wars (1977)
229       | Titanic (1997)
230       | L.A. Confidential (1997)
231       | Secrets & Lies (1996)
232       | L.A. Confidential (1997)
233       | L.A. Confidential (1997)
234       | Titanic (1997)
235       | L.A. Confidential (1997)
236       | Titanic (1997)
237       | Titanic (1997)
238       | Titanic (1997)
239       | Star Wars (1977)
240       | Good Will Hunting (1997)
241       | Titanic (1997)
242       | Titanic (1997)
243       | Titanic (1997)
244       | Titanic (1997)
245       | Titanic (1997)
246       | Titanic (1997)
247       | Titanic (1997)
248       | Titanic (1997)
249       | L.A. Confidential (1997)
250       | L.A. Confidential (1997)
251       | Titanic (1997)
252       | Titanic (1997)
253       | L.A. Confidential (1997)
254       | Titanic (1997)
255       | Titanic (1997)
256       | L.A. Confidential (1997)
257       | L.A. Confidential (1997)
258       | L.A. Confidential (1997)
259       | L.A. Confidential (1997)
260       | Titanic (1997)
261       | Titanic (1997)
262       | Titanic (1997)
263       | Titanic (1997)
264       | Titanic (1997)
265       | L.A. Confidential (1997)
266       | Titanic (1997)
267       | Titanic (1997)
268       | Titanic (1997)
269       | Titanic (1997)
270       | Casablanca (1942)
271       | Titanic (1997)
272       | L.A. Confidential (1997)
273       | Titanic (1997)
274       | Titanic (1997)
275       | Casablanca (1942)
276       | Titanic (1997)
277       | Good Will Hunting (1997)
278       | Titanic (1997)
279       | L.A. Confidential (1997)
280       | Titanic (1997)
281       | Titanic (1997)
282       | Titanic (1997)
283       | Star Wars (1977)
284       | Good Will Hunting (1997)
285       | Titanic (1997)
286       | L.A. Confidential (1997)
287       | Titanic (1997)
288       | Titanic (1997)
289       | Titanic (1997)
290       | Titanic (1997)
291       | Titanic (1997)
292       | Full Monty, The (1997)
293       | L.A. Confidential (1997)
294       | Titanic (1997)
295       | L.A. Confidential (1997)
296       | Titanic (1997)
297       | Titanic (1997)
298       | Good Will Hunting (1997)
299       | Titanic (1997)
300       | Titanic (1997)
301       | Titanic (1997)
302       | Titanic (1997)
303       | L.A. Confidential (1997)
304       | Titanic (1997)
305       | Titanic (1997)
306       | L.A. Confidential (1997)
307       | L.A. Confidential (1997)
308       | Titanic (1997)
309       | Titanic (1997)
310       | Titanic (1997)
311       | Titanic (1997)
312       | Titanic (1997)
313       | Titanic (1997)
314       | Titanic (1997)
315       | Titanic (1997)
316       | L.A. Confidential (1997)
317       | Titanic (1997)
318       | Good Will Hunting (1997)
319       | Titanic (1997)
320       | Titanic (1997)
321       | Full Monty, The (1997)
322       | Titanic (1997)
323       | Titanic (1997)
324       | L.A. Confidential (1997)
325       | Titanic (1997)
326       | Good Will Hunting (1997)
327       | Full Monty, The (1997)
328       | Schindler's List (1993)
329       | Titanic (1997)
330       | Titanic (1997)
331       | Good Will Hunting (1997)
332       | Titanic (1997)
333       | Shawshank Redemption, The (1994)
334       | L.A. Confidential (1997)
335       | Titanic (1997)
336       | Titanic (1997)
337       | Titanic (1997)
338       | Titanic (1997)
339       | Titanic (1997)
340       | Titanic (1997)
341       | Titanic (1997)
342       | Titanic (1997)
343       | Schindler's List (1993)
344       | Godfather, The (1972)
345       | Titanic (1997)
346       | Titanic (1997)
347       | L.A. Confidential (1997)
348       | Titanic (1997)
349       | Titanic (1997)
350       | L.A. Confidential (1997)
351       | Titanic (1997)
352       | L.A. Confidential (1997)
353       | L.A. Confidential (1997)
354       | Titanic (1997)
355       | L.A. Confidential (1997)
356       | Titanic (1997)
357       | Titanic (1997)
358       | L.A. Confidential (1997)
359       | Titanic (1997)
360       | Titanic (1997)
361       | Good Will Hunting (1997)
362       | Good Will Hunting (1997)
363       | Titanic (1997)
364       | Titanic (1997)
365       | Titanic (1997)
366       | Titanic (1997)
367       | L.A. Confidential (1997)
368       | Titanic (1997)
369       | Titanic (1997)
370       | Titanic (1997)
371       | Titanic (1997)
372       | Titanic (1997)
373       | Titanic (1997)
374       | Titanic (1997)
375       | Titanic (1997)
376       | L.A. Confidential (1997)
377       | Godfather, The (1972)
378       | Titanic (1997)
379       | Godfather, The (1972)
380       | L.A. Confidential (1997)
381       | Titanic (1997)
382       | Star Wars (1977)
383       | Star Wars (1977)
384       | Titanic (1997)
385       | Titanic (1997)
386       | Titanic (1997)
387       | Good Will Hunting (1997)
388       | Titanic (1997)
389       | Titanic (1997)
390       | Titanic (1997)
391       | Schindler's List (1993)
392       | Godfather, The (1972)
393       | L.A. Confidential (1997)
394       | L.A. Confidential (1997)
395       | Titanic (1997)
396       | Good Will Hunting (1997)
397       | Titanic (1997)
398       | Titanic (1997)
399       | L.A. Confidential (1997)
400       | Titanic (1997)
401       | Titanic (1997)
402       | Titanic (1997)
403       | Star Wars (1977)
404       | Good Will Hunting (1997)
405       | Titanic (1997)
406       | L.A. Confidential (1997)
407       | Star Wars (1977)
408       | Titanic (1997)
409       | L.A. Confidential (1997)
410       | Titanic (1997)
411       | Titanic (1997)
412       | Titanic (1997)
413       | Star Wars (1977)
414       | Titanic (1997)
415       | Casablanca (1942)
416       | Titanic (1997)
417       | Good Will Hunting (1997)
418       | Titanic (1997)
419       | Titanic (1997)
420       | Titanic (1997)
421       | Titanic (1997)
422       | Star Wars (1977)
423       | Titanic (1997)
424       | Casablanca (1942)
425       | Titanic (1997)
426       | Titanic (1997)
427       | Star Wars (1977)
428       | Titanic (1997)
429       | Titanic (1997)
430       | Titanic (1997)
431       | L.A. Confidential (1997)
432       | Titanic (1997)
433       | Titanic (1997)
434       | L.A. Confidential (1997)
435       | L.A. Confidential (1997)
436       | Titanic (1997)
437       | Titanic (1997)
438       | Titanic (1997)
439       | L.A. Confidential (1997)
440       | L.A. Confidential (1997)
441       | L.A. Confidential (1997)
442       | L.A. Confidential (1997)
443       | L.A. Confidential (1997)
444       | Full Monty, The (1997)
445       | Titanic (1997)
446       | Titanic (1997)
447       | Titanic (1997)
448       | Titanic (1997)
449       | Secrets & Lies (1996)
450       | Titanic (1997)
451       | Titanic (1997)
452       | Titanic (1997)
453       | Godfather, The (1972)
454       | L.A. Confidential (1997)
455       | Titanic (1997)
456       | Titanic (1997)
457       | Titanic (1997)
458       | Titanic (1997)
459       | Good Will Hunting (1997)
460       | Good Will Hunting (1997)
461       | L.A. Confidential (1997)
462       | Good Will Hunting (1997)
463       | Titanic (1997)
464       | Titanic (1997)
465       | Good Will Hunting (1997)
466       | Titanic (1997)
467       | Titanic (1997)
468       | Titanic (1997)
469       | Titanic (1997)
470       | Titanic (1997)
471       | L.A. Confidential (1997)
472       | Titanic (1997)
473       | Good Will Hunting (1997)
474       | Good Will Hunting (1997)
475       | Titanic (1997)
476       | Titanic (1997)
477       | Titanic (1997)
478       | Titanic (1997)
479       | Titanic (1997)
480       | L.A. Confidential (1997)
481       | L.A. Confidential (1997)
482       | L.A. Confidential (1997)
483       | L.A. Confidential (1997)
484       | Good Will Hunting (1997)
485       | Titanic (1997)
486       | L.A. Confidential (1997)
487       | Titanic (1997)
488       | Star Wars (1977)
489       | Titanic (1997)
490       | Titanic (1997)
491       | Titanic (1997)
492       | Titanic (1997)
493       | Titanic (1997)
494       | Titanic (1997)
495       | Titanic (1997)
496       | Titanic (1997)
497       | Titanic (1997)
498       | L.A. Confidential (1997)
499       | L.A. Confidential (1997)
500       | L.A. Confidential (1997)
501       | L.A. Confidential (1997)
502       | L.A. Confidential (1997)
503       | Titanic (1997)
504       | L.A. Confidential (1997)
505       | Titanic (1997)
506       | Good Will Hunting (1997)
507       | Titanic (1997)
508       | Titanic (1997)
509       | L.A. Confidential (1997)
510       | L.A. Confidential (1997)
511       | Good Will Hunting (1997)
512       | Titanic (1997)
513       | Godfather, The (1972)
514       | Good Will Hunting (1997)
515       | Titanic (1997)
516       | Titanic (1997)
517       | Titanic (1997)
518       | L.A. Confidential (1997)
519       | Titanic (1997)
520       | Titanic (1997)
521       | Titanic (1997)
522       | Titanic (1997)
523       | Titanic (1997)
524       | Titanic (1997)
525       | Schindler's List (1993)
526       | Titanic (1997)
527       | Titanic (1997)
528       | Titanic (1997)
529       | Titanic (1997)
530       | Good Will Hunting (1997)
531       | Star Wars (1977)
532       | L.A. Confidential (1997)
533       | Titanic (1997)
534       | Titanic (1997)
535       | Titanic (1997)
536       | Close Shave, A (1995)
537       | Titanic (1997)
538       | Titanic (1997)
539       | Titanic (1997)
540       | Titanic (1997)
541       | Titanic (1997)
542       | Star Wars (1977)
543       | Good Will Hunting (1997)
544       | Titanic (1997)
545       | L.A. Confidential (1997)
546       | Good Will Hunting (1997)
547       | Full Monty, The (1997)
548       | Titanic (1997)
549       | L.A. Confidential (1997)
550       | Full Monty, The (1997)
551       | Titanic (1997)
552       | Titanic (1997)
553       | Titanic (1997)
554       | Titanic (1997)
555       | Titanic (1997)
556       | Titanic (1997)
557       | Titanic (1997)
558       | Titanic (1997)
559       | Titanic (1997)
560       | Titanic (1997)
561       | Titanic (1997)
562       | Titanic (1997)
563       | Full Monty, The (1997)
564       | Titanic (1997)
565       | Titanic (1997)
566       | Titanic (1997)
567       | Titanic (1997)
568       | Titanic (1997)
569       | Titanic (1997)
570       | Titanic (1997)
571       | Titanic (1997)
572       | Titanic (1997)
573       | Titanic (1997)
574       | Titanic (1997)
575       | Titanic (1997)
576       | L.A. Confidential (1997)
577       | L.A. Confidential (1997)
578       | Titanic (1997)
579       | Titanic (1997)
580       | Titanic (1997)
581       | L.A. Confidential (1997)
582       | Titanic (1997)
583       | L.A. Confidential (1997)
584       | L.A. Confidential (1997)
585       | Titanic (1997)
586       | Star Wars (1977)
587       | L.A. Confidential (1997)
588       | L.A. Confidential (1997)
589       | Titanic (1997)
590       | Titanic (1997)
591       | Boot, Das (1981)
592       | L.A. Confidential (1997)
593       | Titanic (1997)
594       | Titanic (1997)
595       | L.A. Confidential (1997)
596       | Titanic (1997)
597       | L.A. Confidential (1997)
598       | Titanic (1997)
599       | Titanic (1997)
600       | Titanic (1997)
601       | Titanic (1997)
602       | L.A. Confidential (1997)
603       | Titanic (1997)
604       | Titanic (1997)
605       | L.A. Confidential (1997)
606       | Titanic (1997)
607       | Titanic (1997)
608       | L.A. Confidential (1997)
609       | L.A. Confidential (1997)
610       | Star Wars (1977)
611       | Titanic (1997)
612       | Titanic (1997)
613       | Titanic (1997)
614       | Titanic (1997)
615       | Star Wars (1977)
616       | Good Will Hunting (1997)
617       | L.A. Confidential (1997)
618       | Good Will Hunting (1997)
619       | L.A. Confidential (1997)
620       | L.A. Confidential (1997)
621       | Titanic (1997)
622       | Titanic (1997)
623       | Schindler's List (1993)
624       | Titanic (1997)
625       | Star Wars (1977)
626       | Titanic (1997)
627       | Titanic (1997)
628       | Titanic (1997)
629       | Titanic (1997)
630       | L.A. Confidential (1997)
631       | Titanic (1997)
632       | Titanic (1997)
633       | Schindler's List (1993)
634       | Titanic (1997)
635       | L.A. Confidential (1997)
636       | Titanic (1997)
637       | Titanic (1997)
638       | L.A. Confidential (1997)
639       | Good Will Hunting (1997)
640       | Titanic (1997)
641       | L.A. Confidential (1997)
642       | Titanic (1997)
643       | Titanic (1997)
644       | Titanic (1997)
645       | L.A. Confidential (1997)
646       | Titanic (1997)
647       | Titanic (1997)
648       | Titanic (1997)
649       | L.A. Confidential (1997)
650       | Titanic (1997)
651       | Titanic (1997)
652       | L.A. Confidential (1997)
653       | Good Will Hunting (1997)
654       | Close Shave, A (1995)
655       | Titanic (1997)
656       | Titanic (1997)
657       | Titanic (1997)
658       | L.A. Confidential (1997)
659       | L.A. Confidential (1997)
660       | L.A. Confidential (1997)
661       | Titanic (1997)
662       | L.A. Confidential (1997)
663       | Titanic (1997)
664       | L.A. Confidential (1997)
665       | Titanic (1997)
666       | L.A. Confidential (1997)
667       | Titanic (1997)
668       | Good Will Hunting (1997)
669       | Titanic (1997)
670       | Titanic (1997)
671       | Titanic (1997)
672       | Star Wars (1977)
673       | L.A. Confidential (1997)
674       | Titanic (1997)
675       | Godfather, The (1972)
676       | Titanic (1997)
677       | Titanic (1997)
678       | Titanic (1997)
679       | Titanic (1997)
680       | Titanic (1997)
681       | Titanic (1997)
682       | Star Wars (1977)
683       | Titanic (1997)
684       | Titanic (1997)
685       | Titanic (1997)
686       | L.A. Confidential (1997)
687       | Titanic (1997)
688       | Titanic (1997)
689       | Titanic (1997)
690       | Titanic (1997)
691       | Titanic (1997)
692       | L.A. Confidential (1997)
693       | Titanic (1997)
694       | Good Will Hunting (1997)
695       | Good Will Hunting (1997)
696       | Titanic (1997)
697       | Titanic (1997)
698       | Titanic (1997)
699       | Titanic (1997)
700       | L.A. Confidential (1997)
701       | L.A. Confidential (1997)
702       | Titanic (1997)
703       | Titanic (1997)
704       | Titanic (1997)
705       | Titanic (1997)
706       | Good Will Hunting (1997)
707       | L.A. Confidential (1997)
708       | Titanic (1997)
709       | Good Will Hunting (1997)
710       | L.A. Confidential (1997)
711       | Titanic (1997)
712       | Star Wars (1977)
713       | Titanic (1997)
714       | Titanic (1997)
715       | Titanic (1997)
716       | Good Will Hunting (1997)
717       | Titanic (1997)
718       | Titanic (1997)
719       | Star Wars (1977)
720       | Titanic (1997)
721       | Titanic (1997)
722       | Titanic (1997)
723       | Star Wars (1977)
724       | Titanic (1997)
725       | Titanic (1997)
726       | Titanic (1997)
727       | Titanic (1997)
728       | L.A. Confidential (1997)
729       | Titanic (1997)
730       | Titanic (1997)
731       | Titanic (1997)
732       | Titanic (1997)
733       | L.A. Confidential (1997)
734       | Titanic (1997)
735       | L.A. Confidential (1997)
736       | Titanic (1997)
737       | L.A. Confidential (1997)
738       | Titanic (1997)
739       | Titanic (1997)
740       | L.A. Confidential (1997)
741       | Titanic (1997)
742       | Titanic (1997)
743       | Titanic (1997)
744       | Titanic (1997)
745       | Titanic (1997)
746       | Good Will Hunting (1997)
747       | Titanic (1997)
748       | Titanic (1997)
749       | Titanic (1997)
750       | Godfather, The (1972)
751       | Star Wars (1977)
752       | L.A. Confidential (1997)
753       | Titanic (1997)
754       | Titanic (1997)
755       | Titanic (1997)
756       | L.A. Confidential (1997)
757       | Schindler's List (1993)
758       | Titanic (1997)
759       | Titanic (1997)
760       | Titanic (1997)
761       | Titanic (1997)
762       | Titanic (1997)
763       | Titanic (1997)
764       | Titanic (1997)
765       | Titanic (1997)
766       | Titanic (1997)
767       | L.A. Confidential (1997)
768       | Titanic (1997)
769       | Titanic (1997)
770       | L.A. Confidential (1997)
771       | Star Wars (1977)
772       | Titanic (1997)
773       | Titanic (1997)
774       | Star Wars (1977)
775       | Titanic (1997)
776       | Titanic (1997)
777       | Titanic (1997)
778       | Titanic (1997)
779       | L.A. Confidential (1997)
780       | Titanic (1997)
781       | Schindler's List (1993)
782       | Titanic (1997)
783       | Star Wars (1977)
784       | Titanic (1997)
785       | Titanic (1997)
786       | Good Will Hunting (1997)
787       | Titanic (1997)
788       | Titanic (1997)
789       | Titanic (1997)
790       | Titanic (1997)
791       | Titanic (1997)
792       | Titanic (1997)
793       | Titanic (1997)
794       | Titanic (1997)
795       | L.A. Confidential (1997)
796       | Titanic (1997)
797       | Titanic (1997)
798       | Titanic (1997)
799       | Titanic (1997)
800       | Good Will Hunting (1997)
801       | Titanic (1997)
802       | Titanic (1997)
803       | Titanic (1997)
804       | Titanic (1997)
805       | Titanic (1997)
806       | L.A. Confidential (1997)
807       | Good Will Hunting (1997)
808       | Star Wars (1977)
809       | L.A. Confidential (1997)
810       | Titanic (1997)
811       | Titanic (1997)
812       | Titanic (1997)
813       | Titanic (1997)
814       | L.A. Confidential (1997)
815       | L.A. Confidential (1997)
816       | Titanic (1997)
817       | Good Will Hunting (1997)
818       | Titanic (1997)
819       | Good Will Hunting (1997)
820       | Titanic (1997)
821       | Titanic (1997)
822       | Titanic (1997)
823       | Titanic (1997)
824       | Titanic (1997)
825       | L.A. Confidential (1997)
826       | Star Wars (1977)
827       | Good Will Hunting (1997)
828       | L.A. Confidential (1997)
829       | L.A. Confidential (1997)
830       | L.A. Confidential (1997)
831       | L.A. Confidential (1997)
832       | Titanic (1997)
833       | L.A. Confidential (1997)
834       | L.A. Confidential (1997)
835       | Titanic (1997)
836       | Titanic (1997)
837       | Good Will Hunting (1997)
838       | Titanic (1997)
839       | Titanic (1997)
840       | Star Wars (1977)
841       | Star Wars (1977)
842       | Titanic (1997)
843       | Titanic (1997)
844       | Star Wars (1977)
845       | Titanic (1997)
846       | Titanic (1997)
847       | Titanic (1997)
848       | Titanic (1997)
849       | Titanic (1997)
850       | Full Monty, The (1997)
851       | Titanic (1997)
852       | Titanic (1997)
853       | Titanic (1997)
854       | Titanic (1997)
855       | L.A. Confidential (1997)
856       | Titanic (1997)
857       | Titanic (1997)
858       | L.A. Confidential (1997)
859       | Star Wars (1977)
860       | Titanic (1997)
861       | Titanic (1997)
862       | Star Wars (1977)
863       | Titanic (1997)
864       | Titanic (1997)
865       | Star Wars (1977)
866       | Titanic (1997)
867       | Titanic (1997)
868       | Titanic (1997)
869       | Full Monty, The (1997)
870       | Schindler's List (1993)
871       | L.A. Confidential (1997)
872       | L.A. Confidential (1997)
873       | Good Will Hunting (1997)
874       | Titanic (1997)
875       | Titanic (1997)
876       | Titanic (1997)
877       | Titanic (1997)
878       | Titanic (1997)
879       | Titanic (1997)
880       | Titanic (1997)
881       | Titanic (1997)
882       | Good Will Hunting (1997)
883       | Titanic (1997)
884       | Titanic (1997)
885       | Titanic (1997)
886       | Titanic (1997)
887       | Titanic (1997)
888       | Titanic (1997)
889       | L.A. Confidential (1997)
890       | L.A. Confidential (1997)
891       | Titanic (1997)
892       | Titanic (1997)
893       | Godfather, The (1972)
894       | Titanic (1997)
895       | Good Will Hunting (1997)
896       | Titanic (1997)
897       | Star Wars (1977)
898       | Titanic (1997)
899       | Titanic (1997)
900       | Titanic (1997)
901       | Titanic (1997)
902       | Titanic (1997)
903       | Titanic (1997)
904       | Good Will Hunting (1997)
905       | Titanic (1997)
906       | L.A. Confidential (1997)
907       | Titanic (1997)
908       | Titanic (1997)
909       | L.A. Confidential (1997)
910       | L.A. Confidential (1997)
911       | Titanic (1997)
912       | Titanic (1997)
913       | L.A. Confidential (1997)
914       | Good Will Hunting (1997)
915       | Titanic (1997)
916       | Titanic (1997)
917       | Titanic (1997)
918       | Godfather, The (1972)
919       | Star Wars (1977)
920       | L.A. Confidential (1997)
921       | Titanic (1997)
922       | Titanic (1997)
923       | L.A. Confidential (1997)
924       | Titanic (1997)
925       | Star Wars (1977)
926       | Titanic (1997)
927       | Titanic (1997)
928       | Titanic (1997)
929       | Titanic (1997)
930       | Schindler's List (1993)
931       | Titanic (1997)
932       | Titanic (1997)
933       | Good Will Hunting (1997)
934       | L.A. Confidential (1997)
935       | L.A. Confidential (1997)
936       | Titanic (1997)
937       | L.A. Confidential (1997)
938       | Titanic (1997)
939       | Godfather, The (1972)
940       | Titanic (1997)
941       | L.A. Confidential (1997)
942       | Titanic (1997)
